kode_rs,nama_rs,alamat,telepon,kode_bps,kelas,kepemilikan,pemilik_raw,jenis_rs,lat,lng,is_valid_coord,needs_geocoding,sumber_data,coverage_periode
3514057,RS Graha Sehat Medika,Jalan Ahmad Yani Nomor 15,03435611000,3514,D,swasta,SWASTA/LAINNYA,RSU,-7.633412,112.870121,1,0,SIRS Kemenkes,2026-LIVE
3526030,RS Ibu dan Anak Aisyiyah,Jl. Letnan Ramli No. 21,82302229161,3526,C,swasta,Organisasi Sosial,RSIA,-7.028742,112.752912,1,0,SIRS Kemenkes,2026-LIVE
3526031,RS Ibu Dan Anak Hikmah Sawi,Jalan KH Moh Toha Nomer 1A,082337779885,3526,C,swasta,Perorangan,RSIA,-7.028824,112.740623,1,0,SIRS Kemenkes,2026-LIVE
3526032,RS Khusus Bedah Al Ishaqiy,Jl. RE Martadinata No. 34,(031)3090319,3526,C,swasta,SWASTA/LAINNYA,RSK BEDAH,-7.049807,112.730537,1,0,SIRS Kemenkes,2026-LIVE
3528029,RS Umum Kusuma Hospital,Jl. Bonorogo No. 3,0324 3510248,3528,D,swasta,SWASTA/LAINNYA,RSU,-7.156044,113.489267,1,0,SIRS Kemenkes,2026-LIVE
3579005,RS Ibu dan Anak Haji,Jl. KH. Agus Salim No. 35,591480,3579,C,swasta,SWASTA/LAINNYA,RSIA,,,0,1,SIRS Kemenkes,2026-LIVE
3506066,RS Umum Daerah Simpang Lima Gumul Kediri,Jl. Galuh Candra Kirana,(0354) 2891400,3506,C,pemerintah,Pemkab,RSU,-7.820323,112.057927,1,0,SIRS Kemenkes,2026-LIVE
3517098,RS Bedah Surya Dharma Husada,Jl. KH. Hasyim Asyari No. 123,321860777,3517,C,swasta,SWASTA/LAINNYA,RSK BEDAH,,,0,1,SIRS Kemenkes,2026-LIVE
3507116,RS Umum Salsabila Husada,Jl. Raya Jatikerto No. 305,082139271198,3507,D,swasta,Perusahaan,RSU,-8.139593,112.531643,1,0,SIRS Kemenkes,2026-LIVE
3514058,RS Umum Daerah Grati,Jl. Raya Grati No. 199 K,081217092914,3514,C,pemerintah,Pemkab,RSU,-7.713878,112.99928,1,0,SIRS Kemenkes,2026-LIVE
3507117,RS Umum Pindad,Jalan Semeru Nomor 1,082133437792,3507,C,swasta,SWASTA/LAINNYA,RSU,-8.173847,112.686635,1,0,SIRS Kemenkes,2026-LIVE
3514059,RS Prima Husada,Jl. Raya Surabaya Malang KM 54,03436745000,3514,C,swasta,SWASTA/LAINNYA,RSU,-7.711655,112.714712,1,0,SIRS Kemenkes,2026-LIVE
3525102,RS Umum Randegansari Husada,Jalan telapak,0317509317,3525,D,swasta,SWASTA/LAINNYA,RSU,-7.323229,112.634999,1,0,SIRS Kemenkes,2026-LIVE
3523055,RS Umum Daerah R. Ali Manshur,Jl. Raya Timur No. 131,(0356) 551064,3523,C,pemerintah,Pemkab,RSU,-6.889268,111.663202,1,0,SIRS Kemenkes,2026-LIVE
3508060,RS Umum Muhammadiyah Lumajang,JL. LETKOL SELAMET WARDOYO NO. 103,0334-8782955,3508,D,swasta,Organisasi Islam,RSU,-8.139095,113.208695,1,0,SIRS Kemenkes,2026-LIVE
3524049,RS Umum Muhammadiyah Babat,Jl. Raya Babat-Surabaya KM. 4,08113222440,3524,C,swasta,SWASTA/LAINNYA,RSU,-7.100789,112.197788,1,0,SIRS Kemenkes,2026-LIVE
3515144,RS Sheila Medika,Jl. Letjen Wahono No. 77-79 Juanda Sedati,082244251088,3515,D,swasta,SWASTA/LAINNYA,RSU,-7.371713,112.759732,1,0,SIRS Kemenkes,2026-LIVE
3505045,RS Umum Daerah Srengat Kab. Blitar,JL. RAYA DANDONG,(0342)565155,3505,C,pemerintah,Pemkab,RSU,-8.064892,112.079717,1,0,SIRS Kemenkes,2026-LIVE
3573264,RS Ibu dan Anak Melati Children Hospital,Jl. Suropati No. 12,0341-340033,3573,C,swasta,SWASTA/LAINNYA,RSIA,-7.975468,112.634595,1,0,SIRS Kemenkes,2026-LIVE
3525104,RS Ibu dan Anak Khodijah,JL. Pelita No. 20,0313941810,3525,C,swasta,SWASTA/LAINNYA,RSIA,-6.994047,112.564787,1,0,SIRS Kemenkes,2026-LIVE
3525105,RS Eka Husada,Jl. Raya Menganti,031 99008514 03,3525,C,swasta,SWASTA/LAINNYA,RSU,-7.291807,112.575988,1,0,SIRS Kemenkes,2026-LIVE
3527014,RS Umum Daerah Ketapang,Jl Raya Ketapang No.7,085142518881,3527,D,pemerintah,Pemkab,RSU,-6.896616,113.282077,1,0,SIRS Kemenkes,2026-LIVE
3524050,RS Umum Permata Bunda,Jl. Petro No. 20,082142906511,3524,D,swasta,SWASTA/LAINNYA,RSU,-7.099666,112.19042,1,0,SIRS Kemenkes,2026-LIVE
3524052,RS Umum Daerah Karangkembang,Jl. Raya Babat - Jombang Km. 2,(0322) 4651378,3524,D,pemerintah,Pemkab,RSU,-7.122641,112.163732,1,0,SIRS Kemenkes,2026-LIVE
3571150,RS Umum Daerah Kilisuci,Jl. KH. Wachid Hasyim No. 64,(0354)6021640,3571,C,pemerintah,Pemkot,RSU,-7.816495,112.005396,1,0,SIRS Kemenkes,2026-LIVE
3504087,RS Umum Daerah Campurdarat,Jalan Kanigoro Nomor 13,0355 5351501,3504,C,pemerintah,Pemkab,RSU,-8.161967,111.859621,1,0,SIRS Kemenkes,2026-LIVE
3515145,RS Mitra Keluarga Pondok Tjandra,Jalan Raya Taman Asri Kav. DD 1-8,031 99691000,3515,C,swasta,SWASTA/LAINNYA,RSU,-7.344655,112.77546,1,0,SIRS Kemenkes,2026-LIVE
3515146,RS Pusura Candi,JL Raya Gelam No. 39,(031) 99717449,3515,D,swasta,SWASTA/LAINNYA,RSU,-7.473685,112.713711,1,0,SIRS Kemenkes,2026-LIVE
3524056,RS Muhammadiyah Kalikapas Lamongan,Jl Raya Lamongan Mantup,0813-3366-5300,3524,D,swasta,Organisasi Islam,RSU,-7.139507,112.412361,1,0,SIRS Kemenkes,2026-LIVE
3507119,RS Umum Wajak Husada,Jl. Raya Kidangbang No.02,03418221030,3507,D,swasta,SWASTA/LAINNYA,RSU,-8.094954,112.707843,1,0,SIRS Kemenkes,2026-LIVE
3523056,RS Graha Husada,Jl.Imam Bonjol No. 01,081234447930,3523,D,swasta,Perusahaan,RSU,-6.964313,111.751161,1,0,SIRS Kemenkes,2026-LIVE
3524072,RS Permata Hati Lamongan,Jl. Raya Tambakboyo No. 02,081233348800,3524,D,swasta,SWASTA/LAINNYA,RSU,-7.2785,112.7216,1,0,SIRS Kemenkes,2026-LIVE
3578808,Mayapada Hospital Surabaya,Jl. Mayjend Sungkono No. 16-20,031-99217777,3578,C,swasta,SWASTA/LAINNYA,RSU,-7.291959,112.727701,1,0,SIRS Kemenkes,2026-LIVE
3524073,RS Nahdlatul Ulama Babat,Jl. Raya Babat-Lamongan KM 4,085700746906,3524,D,swasta,SWASTA/LAINNYA,RSU,-7.103318,112.201156,1,0,SIRS Kemenkes,2026-LIVE
3517109,RS Umum PKU Muhammadiyah Mojoagung,Jalan Raya Sumobito Nomor 03,0321-4894261,3517,D,swasta,Organisasi Islam,RSU,-7.566915,112.338788,1,0,SIRS Kemenkes,2026-LIVE
3502157,RS Yasyfin Darussalam Gontor,Jl. Jakarta N0.10,03523597038,3502,D,swasta,SWASTA/LAINNYA,RSU,-7.868536,112.655621,1,0,SIRS Kemenkes,2026-LIVE
3522075,RS Umum Daerah Kepohbaru,Jl. Raya Kepohbaru-Gunungsari No.472,081335011152,3522,D,pemerintah,Pemkab,RSU,-7.223058,112.102246,1,0,SIRS Kemenkes,2026-LIVE
3512050,RS Ibu dan Anak Karinda Husada,Jl. Raya Kota Timur No. 26B,082233117919,3512,C,swasta,SWASTA/LAINNYA,RSIA,-7.732458,113.696513,1,0,SIRS Kemenkes,2026-LIVE
3515157,RS Umum Daerah Sidoarjo Barat,"Jl. Bibis Bunder,Kelurahan Tambak Kemerakan,Kecamatan Krian,Kabupaten Sidoarjo,Provinsi Jawa Timur",(031) 89911199,3515,C,pemerintah,Pemkab,RSU,-7.407152,112.586826,1,0,SIRS Kemenkes,2026-LIVE
3507259,RS Enggal Dangan,Jl. Raya Bamban No. 28,082132582470,3507,D,swasta,SWASTA/LAINNYA,RSU,-7.961643,112.682782,1,0,SIRS Kemenkes,2026-LIVE
3573276,RS Umum BRI Medika Malang,Jl. Mayjend Panjaitan No. 176,0341-580099,3573,D,swasta,SWASTA/LAINNYA,RSU,-7.952973,112.619369,1,0,SIRS Kemenkes,2026-LIVE
3526045,RS Ibu dan Anak Glamour Husada Kebun,"Jalan. Raya Kebun No.1, Dusun Labang Laok",081994110652,3526,C,swasta,SWASTA/LAINNYA,RSIA,-7.162589,112.734634,1,0,SIRS Kemenkes,2026-LIVE
3529040,RS Umum Daerah Abuya Kangean,Jl. Raya Pantai Celgung,0813-3288-4569,3529,D,pemerintah,Pemkab,RSU,,,0,1,SIRS Kemenkes,2026-LIVE
3512051,RS Mata Situbondo,Jl. PB Sudirman No 05,08113477555,3512,C,swasta,SWASTA/LAINNYA,RSK Mata,-7.709412,113.989769,1,0,SIRS Kemenkes,2026-LIVE
3515158,RS Ibu dan Anak Pondok Jati,Perum Pondok Jati Blok AK No 11-13,081231326399,3515,C,swasta,SWASTA/LAINNYA,RSIA,-7.444361,112.702433,1,0,SIRS Kemenkes,2026-LIVE
3512052,RS Umum Mulia Medical Center,Jl. Pasir Putih No.07 RT. 002 RW. 001 Kelurahan Bletok Kecamatan Bungatan,0338 3977777,3512,D,swasta,SWASTA/LAINNYA,RSU,-7.73407,113.785754,1,0,SIRS Kemenkes,2026-LIVE
